,Pitcher,pitcherId,team,Total,Hand,Stf+ FA,Stf+ SL,Stf+ CU,Stf+ FC,Stf+ SI,Stf+ CH,Stf+ FS,Stuff+
1557,C. Horowicz,1226686720,SCAR,36,R,117,,,,,,,117
1558,N. Vidmar,1226973184,DSU,73,R,89,92,,,,,,90
1559,O. Mabee,1226980386,NEOM,156,R,110,,,,,,,110
1560,E. Calder,1227026689,BAY,941,L,107,104,104,,,94,,104
1561,D. West,1227043072,UTU,902,R,100,111,109,112,,,,104
1562,T. Kent,1227047936,MONM,181,L,101,113,,,101,,82,100
1563,E. Gillies,1227049472,EMU,350,R,102,83,67,,,113,,96
1564,D. McShane,1227057152,PAC,66,R,100,98,,,,,,99
1565,E. Davis,1227057920,MORE,331,R,86,94,95,,,103,,90
1566,I. Warrick,1227069440,UAB,261,L,112,,,,,102,,107
1567,J. Bultemeier,1227226334,VALP,491,R,103,92,93,,,97,,98
1568,D. Rhyne,1228144640,AFA,344,R,94,98,,,102,,,96
1569,B. Baker,1228288003,VMI,586,L,106,106,,,,102,,105
1570,A. Marquez,1228363776,PV,151,R,100,,,95,,,105,100
1571,T. Ludy,1228670464,RAD,553,R,92,113,104,,,,,100
1572,J. Natanek,1228733060,ILST,212,R,92,101,,,96,,,96
1573,N. Buchman,1228788225,MRST,51,R,85,,,,,,,85
1574,T. Barnett,1228853383,TNTC,240,L,95,101,107,,,101,,99
1575,D. Pavone,1228902144,BUCK,390,R,88,86,,,,100,,89
1576,S. Aluko,1229058560,FGCU,193,L,117,93,,,,,,114
1577,G. Oswald,1229288053,ALCN,130,L,84,,,,,86,,85
1578,B. Spencer,1229570048,SOU,146,R,87,94,,,,,,89
1579,C. Fair,1229621824,MEM,399,R,105,112,112,,,,,109
1580,B. Cushnie,1230168761,USC,248,L,109,93,,,,,,106
1581,D. Crystal,1230177218,FRES,482,R,97,109,,100,,,,99
1582,N. Pavia,1230188151,DAY,399,R,118,87,91,,120,,,110
1583,T. Swygart,1230191145,PORT,196,R,100,98,,,,103,,100
1584,J. Rizzo,1230206464,STON,490,R,117,85,,,,86,,108
1585,J. Pedersen,1230207744,RUTG,327,R,93,87,80,,95,,,90
1586,D. Wright,1230322309,WCU,666,L,106,92,94,,,106,,102
1587,B. Chamberlin,1230460672,PRE,192,R,86,103,,,,,,94
1588,E. Bowery,1230825216,PRE,283,R,93,102,,,,,,97
1589,J. Higgins,1230833995,HALL,339,R,107,,,86,,107,,103
1590,G. Bryant,1231082903,UTM,125,R,90,93,,,,,,92
1591,B. Roberson,1231134895,LT,329,R,84,108,,91,84,109,,96
1592,T. Foxson,1231624192,UNLV,309,R,100,,113,,108,,,107
1593,M. Hawkins,1231862528,SHU,178,R,84,84,84,,,,,84
1594,O. Marsolek,1231956087,UOST,375,L,108,77,79,,,91,,94
1595,B. Barna,1232103168,UNCA,227,R,90,95,82,,,,,90
1596,N. Bruno,1232103424,UNCA,95,L,98,,105,,,,,101
1597,M. Miller,1232684800,USA,363,L,124,106,,,,104,,118
1598,S. Freer,1232886528,LMC,44,R,87,,,,,,,87
1599,P. Allen,1233314098,GRAM,250,R,91,83,,,108,73,,86
1600,G. Golier,1233484032,LEH,102,R,90,95,,,,,,92
1601,B. Foley,1233520128,MASSL,315,R,96,108,,112,,,,105
1602,J. Jette,1233520896,MASSL,310,L,88,100,,110,,96,,97
1603,L. Fuller,1233548783,IW,147,R,104,82,,87,101,,,95
1604,R. Watson,1234340733,APP,394,L,95,96,108,103,,,,101
1605,D. Sliwkowski,1234497280,MASS,103,L,103,110,,,111,,,109
1606,P. Dhein,1234697950,VMI,725,L,97,94,,,,91,,95
1607,N. Feidt,1234901763,SBON,451,L,102,84,,,107,84,,98
1608,K. Etwaru,1235114630,UNF,439,L,94,,102,,79,108,,100
1609,M. Smith,1235155910,JKST,30,R,88,,,,,,,88
1610,R. Fortenberry,1235270570,KSU,260,L,110,106,,,,,,109
1611,R. Penswick,1235293952,ARMY,324,R,97,107,,,102,,,102
1612,J. Dally,1235307264,BING,384,R,100,102,,,102,94,,101
1613,E. Foster,1235307520,SCAR,135,R,117,,,,,,,117
1614,L. Diehl,1235332864,TOWS,653,R,100,88,,78,104,99,,92
1615,O. Ellison,1235354624,WEBB,320,R,97,,103,84,,101,,97
1616,E. Eaton,1235355648,PRIN,603,R,92,101,,,94,109,,97
1617,J. Hinchliffe,1235370240,RICH,720,R,88,98,,94,89,95,,93
1618,B. Burkart,1235374080,PRE,339,R,112,98,95,,,,,105
1619,C. Hutchinson,1235375872,BALL,64,R,101,,,,,101,,101
1620,M. Abell,1235385856,ARMY,415,R,102,103,,,100,,,102
1621,S. Bell,1235469056,UMBC,46,R,104,,,,,,,104
1622,J. LoPinto,1235521280,CAN,314,R,96,77,,,,84,,87
1623,J. Schultz,1235561984,BUCK,590,R,98,97,,,,93,,97
1624,D. Goff,1235573249,CSF,253,R,107,111,,,,99,,106
1625,T. Graham,1235991661,EVAN,818,R,89,85,91,,,100,,91
1626,T. Brown,1236235082,CIT,510,R,104,108,,102,,,,105
1627,T. Velino,1236297216,UNO,350,R,93,87,,,93,101,,95
1628,J. Price,1236502738,UTU,318,R,85,103,92,,86,,,92
1629,D. Corrales,1236662311,MCNS,128,L,,98,,,,107,,105
1630,T. Seay,1236991232,ARST,29,R,108,,,,,,,108
1631,P. Davidson,1237010176,AFA,257,R,111,104,,,,,,109
1632,L. Hartman,1237014528,UVA,889,R,107,106,96,92,,101,,101
1633,T. Melani,1237022208,STET,277,R,106,,,102,,104,,105
1634,C. Barna,1237027584,UNLV,64,R,102,103,,,,,,103
1635,N. Bronzini,1237028096,UALR,614,L,109,112,109,97,,114,,106
1636,M. Meyer,1237037312,MCNS,26,R,100,,,,,,,100
1637,J. Newman,1237044736,AKR,438,R,103,86,,100,100,,,99
1638,T. Boccabello,1237056000,COOK,46,R,95,,,,,,,95
1639,C. Hansen,1237056768,ELON,581,R,93,103,,92,90,107,,96
1640,D. Jackson,1237204199,CSB,220,L,96,69,,,113,97,,90
1641,D. Bryan,1237361152,DUKE,375,R,104,,97,103,,100,,103
1642,K. Moore,1237555503,LAF,341,R,99,99,,,,103,99,99
1643,G. Oswald,1237822976,UNA,868,L,92,109,83,,117,96,,100
1644,R. Gannon,1237823232,ILL,483,L,,95,,,113,94,,109
1645,Z. Brown,1238016768,UGA,445,R,103,106,,91,105,107,,105
1646,A. Cook,1238031616,OHIO,115,L,103,,,,,,,103
1647,C. Wade,1238048512,ALCN,83,L,78,,,,,80,,79
1648,J. Gatti,1238131200,ODU,763,R,99,99,81,94,,115,,101
1649,K. Barr,1238136064,MICH,1170,R,99,109,122,113,,108,,108
1650,R. Carter,1238141952,PAC,476,R,95,107,103,,,107,,101
1651,A. Petrovic,1238143488,AUB,910,R,108,104,,102,,123,,112
1652,C. Flukey,1238148096,CCAR,298,R,119,106,105,,,,,113
1653,C. Coppola,1238148352,JOES,458,R,103,120,102,93,,,,109
1654,O. Kramkowski,1238157312,ARIZ,1064,R,98,96,,96,103,,,99
1655,G. Prosper,1238181888,SOU,160,L,96,99,,,,,,98
1656,D. Robinson,1238183168,FAU,451,R,100,,50,,,98,,88
1657,T. Curless,1238196480,ETSU,172,L,115,,,117,,,,116
1658,J. Tollett,1238212096,ULL,773,R,99,101,,102,106,103,,104
1659,R. Ruais,1238214400,BAY,339,L,111,93,,111,,,,107
1660,Z. Todd,1238220800,PAC,1098,R,106,104,,102,,95,,104
1661,J. Gutierrez,1238222848,SJSU,341,L,99,91,93,,,92,,97
1662,K. Bade,1238226176,USD,591,L,104,106,,,123,94,,105
1663,J. Barnhouse,1238229248,UNM,89,R,94,98,,,,,,96
1664,E. Whiteaker,1238230784,AC,728,R,92,96,95,106,,103,,97
1665,J. Havern,1238246656,UTA,238,R,92,111,,,,,,96
1666,B. Van Cleve,1238251008,UALR,170,R,105,,105,,,,,105
1667,S. Garewal,1238260224,STAN,502,L,128,104,,,,95,,116
1668,R. Bassinger,1238278144,WVU,655,R,96,96,99,,99,76,,96
1669,J. Van Der Lelie,1238282240,ARST,262,R,91,95,,,,,,93
1670,T. Murphy,1238291968,FAU,802,R,93,90,,,99,91,,92
1671,C. Clayton,1238294528,ULM,41,R,89,,,,,,,89
1672,P. Michael,1238305536,LOU,428,R,117,112,113,,,,,115
1673,J. Cerwinski,1238307584,PENN,175,R,100,,,97,,,,99
1674,E. Tumis,1238307840,KENT,615,R,103,100,,96,,,,101
1675,J. Hauser,1238315008,NE,263,R,104,100,,98,,,89,101
1676,W. Papciak,1238316800,DAV,44,R,89,,,,,,,89
1677,B. Eich,1238602089,KSU,89,R,108,110,,,,,,109
1678,J. Cleveland,1238807808,OKLA,402,R,110,104,104,,,98,,107
1679,E. Rakers,1238871040,LU,465,R,93,83,,,96,103,,98
1680,J. Newell,1238871552,LU,972,R,95,94,92,101,95,100,89,96
1681,C. Anderson,1238972928,DUKE,325,R,106,105,,107,102,94,,104
1682,C. Carmona,1239062626,UNA,129,R,107,94,,,,,,103
1683,J. Wittig,1239079168,LT,206,R,100,101,,83,98,,,98
1684,J. Schaeffer,1239091969,DBU,728,R,95,110,99,114,,115,,105
1685,M. Butash,1239109120,PSU,476,R,98,101,93,,,,,97
1686,J. Moss,1239118080,PENN,813,R,111,100,103,,,98,110,106
1687,D. Schueler,1239155712,CIN,545,R,109,96,,,,91,,106
1688,L. Craytor,1239205120,VT,213,R,105,117,,96,,,,105
1689,J. Allen,1239222784,CLEM,186,R,,,,112,94,,,107
1690,H. Barrett,1239316736,OKST,583,L,111,104,113,,,97,,107
1691,B. Reimers,1239337216,STAN,181,R,107,102,,,97,,,102
1692,H. Leffew,1239346432,TEX,289,L,129,,127,,,,84,124
1693,M. English,1239348480,USM,432,R,112,107,105,108,,,,110
1694,A. Gubitosi,1239357696,IND,203,L,110,100,,,,87,,105
1695,N. Harnisch,1239358976,HC,42,R,,95,,,,,,95
1696,K. Reed,1239369472,EVAN,713,L,110,106,110,114,,,,111
1697,D. Mauro,1240209930,CIN,587,R,97,113,,103,,,,102
1698,C. Lee,1240240677,UNCG,548,R,100,94,96,,,103,,99
1699,C. Davis,1240731068,TNTC,272,R,102,,108,,,113,,105
1700,C. Markham,1241464169,ORE,134,R,112,123,,,,,,115
1701,X. Hirsch,1241745538,ND,572,R,92,101,,103,99,104,,101
1702,J. Urena,1241946112,FIU,413,R,92,98,,103,99,95,,97
1703,D. Asencio,1241946368,URI,112,R,96,102,,,,,,98
1704,C. Johnston,1241946624,URI,561,R,85,101,,86,,108,,94
1705,S. Patel,1242031643,OSU,301,L,113,,94,,,,,108
1706,A. Thomas,1242115328,BUT,65,L,105,,,,97,,,101
1707,C. Seeman,1242490112,INST,522,R,107,83,,,,92,,98
1708,P. Meyers,1242803969,CONN,475,R,96,101,102,101,,,,100
1709,H. Alejandro,1242910976,SHU,77,R,96,85,,,,,,91
1710,K. Budd,1243115429,AMCC,192,L,91,,100,,,92,,94
1711,B. Dean,1243276544,TROY,133,R,101,114,,,,,,107
1712,D. Reid,1243431424,BRWN,698,R,104,95,97,,,109,,102
1713,D. Masters,1243478784,OHIO,452,L,97,82,,,,96,62,88
1714,D. Powell,1243498496,KENN,773,R,103,,97,,,116,,109
1715,N. Isler,1243499776,DART,546,R,114,105,108,,,105,,111
1716,C. Swift,1243730340,VT,325,L,105,,,85,,108,,104
1717,K. Klaric-Schell,1243737130,DART,168,R,111,,,,,,,111
1718,C. Charalambous,1243928576,PRE,801,L,94,112,100,113,95,80,,100
1719,T. Kapa,1244431523,UVA,398,R,113,96,,,,,,111
1720,E. Miramontes,1245163520,NKU,468,L,100,98,104,,,95,,99
1721,J. Hollis,1245683677,ORE,143,R,103,,100,,,,,102
1722,K. Smith,1245927424,FOR,74,R,85,117,,,,,,106
1723,T. Dietrich,1245927680,LIB,155,L,117,114,,,,,,116
1724,D. Grumbles,1245956855,BC,346,R,102,91,,,,,,101
1725,D. Voegele,1246582016,KU,1061,R,107,113,116,,103,102,,109
1726,E. Rawlings,1247221419,WIU,398,R,92,101,,,,,,96
1727,L. Rushing,1247520000,MEM,464,L,105,99,,,,98,,102
1728,B. Greene,1247534592,JMU,216,R,103,91,,,101,,,98
1729,D. Turner,1247814663,COOK,123,L,94,109,,,,,,100
1730,C. Short,1247942017,LT,51,R,104,,,,,,,104
1731,A. Stanton,1247942656,CHAR,828,R,95,106,,,107,119,,109
1732,T. Wiggins,1247952271,RICE,1016,R,94,,109,103,,89,,98
1733,A. Barroso,1248106355,COOK,41,R,,,,,101,,,101
1734,C. McGill,1248435714,MORE,522,R,93,98,,,91,96,,94
1735,G. Moore,1248441344,VILL,343,R,110,89,,,,,,105
1736,Z. Wieder,1248442368,ARPB,103,R,99,106,,,,,,102
1737,P. Prince,1248450560,FIU,788,L,107,90,,89,,103,,102
1738,W. Taylor,1248451072,MRST,208,L,104,,,112,,99,,104
1739,D. McAliney,1248451584,BING,101,R,92,94,,,,,,93
1740,N. Parache,1248478720,NICH,626,R,97,94,90,,86,94,,94
1741,J. Pease,1248493824,TNTC,940,R,82,92,99,99,,97,,91
1742,C. Delgado,1248607055,JKST,239,R,86,94,,,,91,,89
1743,D. Lee,1248669952,SELA,185,R,100,101,,,95,,,100
1744,J. Snyder,1248861440,MSM,184,R,93,89,,,,,,92
1745,R. Free,1248875776,TTU,148,L,90,101,,,,115,,99
1746,E. Henderson,1248981637,EMU,241,R,94,88,,,,99,,94
1747,D. Pieto,1249373185,JAC,236,R,113,105,108,,,,,109
1748,D. Scott,1249801721,MVSU,134,R,92,,101,,,,,94
1749,J. Zambrano,1250050404,COOK,104,R,93,,,,,104,,96
1750,M. Green,1250057472,BAY,42,L,104,,,,,,,104
1751,P. Dixon,1250061805,NEV,73,L,103,96,,,,,,101
1752,J. Schaaf,1250079232,MOSU,888,R,92,100,97,,,95,,96
1753,T. Stott,1250081792,ODU,135,R,91,99,,104,,,,99
1754,R. Lueck,1250082304,UNLV,641,R,82,99,,113,88,95,,97
1755,J. Nobles,1250234831,SMC,432,R,91,104,,,95,108,,98
1756,J. Husak,1250235904,IOWA,319,R,95,100,,104,,,,100
1757,E. Barber,1250917507,AAMU,137,R,99,100,,,,,,99
1758,C. Yoo,1251208960,LIU,87,R,92,86,,,,,,89
1759,B. Gray,1251320576,LONG,176,R,86,96,,,,102,,94
1760,E. Clark,1251438848,ND,32,L,127,,,,,,,127
1761,C. Koonce,1251439873,UMBC,79,R,101,,,,,,,101
1762,D. Midkiff,1251540171,LAM,76,R,96,,107,,,,,100
1763,N. Waldeck,1251570381,SMC,415,R,89,104,,110,,94,,97
1764,T. Potts,1251936657,CMU,670,R,88,105,101,,,96,,95
1765,M. Brissey,1252181716,ARK,235,R,102,108,,,113,,,105
1766,D. Roberts,1252504204,SMC,320,L,100,96,,,,105,,100
1767,M. Holloway,1252712299,BING,588,R,98,98,,,99,92,,97
1768,L. White,1252817152,BRY,74,R,,116,,,115,,,116
1769,J. Nunn,1253144265,UTM,72,R,77,68,,,,,,74
1770,S. Doran,1253195181,CCAR,394,R,102,108,116,,,,,108
1771,C. Sonoqui,1253347857,WIU,255,R,89,90,,,,,,89
1772,O. Cavey,1253511374,BEL,263,L,114,99,,,,,,109
1773,Z. Coppersmith,1253554176,STET,377,R,118,,,98,,,88,112
1774,G. Garbinski,1253818112,CONN,183,R,100,94,99,,95,,,97
1775,T. Packen,1253818624,MAN,69,R,86,91,,,,,,88
1776,A. Arnold,1254009884,KSU,310,R,104,87,,,,102,,102
1777,A. Terry,1254137777,SFA,118,R,92,,95,,,,,93
1778,N. Rizzo,1254189056,STON,478,L,109,95,,,,98,,102
1779,T. Panariello,1254191104,STON,266,R,91,88,94,104,,91,,94
1780,A. Rasmussen,1254195198,UOST,176,R,88,,99,,,,,93
1781,W. Brodt,1254245888,WIN,419,R,95,94,,88,91,,,92
1782,A. Overbay,1254275840,ASU,667,R,119,113,,103,,,,114
1783,J. Flora,1254299136,UCSB,1125,R,121,128,,108,,102,,118
1784,M. Gallant,1254317568,CHSO,695,L,81,99,99,,,108,,96
1785,J. Cowan,1254366350,LSA,26,R,,,,,,85,,85
1786,B. Snow,1254376765,BYU,96,L,101,99,,,,,,100
1787,R. Roman,1254564096,HOU,383,R,103,114,111,,,,,108
1788,G. Shaw,1254718720,CONN,547,R,111,100,,,110,115,,110
1789,A. Rucci,1254719744,WAG,57,L,120,,,,,,,120
1790,P. Rovin,1254753725,USD,393,L,107,91,,,,83,,97
1791,K. Ruthardt,1254770432,ORU,248,R,102,101,92,,,108,,101
1792,Q. Larson,1254914048,CAL,348,R,100,104,,104,,,,102
1793,P. Jackson,1255135128,MRSH,220,R,103,100,,,105,,,103
1794,R. Lundari,1255309402,SIE,85,R,89,71,,,,,,83
1795,G. Ahern,1255332608,GC,487,R,95,,,,102,108,,103
1796,J. Evans,1255656668,GAST,346,L,106,96,,,107,99,,103
1797,E. Nachtsheim,1256101932,MCNS,1174,R,126,103,90,84,,102,,119
1798,Z. James,1256409641,TCU,808,R,103,104,,90,102,101,,102
1799,J. Mayes,1256646756,TXSO,32,R,92,,,,,,,92
1800,K. Davis,1256897898,ALCN,182,R,107,85,,,,,,100
1801,C. Bosley-Smith,1256911872,LIP,561,R,117,112,,,,94,,111
1802,W. Holmes,1257161216,CIT,1097,L,113,105,108,,104,89,,109
1803,T. Geddes,1257214720,XAV,151,L,100,,,,115,,,112
1804,N. Chapman,1257329152,UNCG,1124,L,115,102,,,,76,,104
1805,R. Bilka,1257398016,MIA,481,R,103,112,,,,113,107,106
1806,N. Hertzler,1257403136,WM,421,R,106,97,,,,105,,102
1807,R. Hetzler,1257416704,AUB,329,R,115,104,,,,101,,110
1808,R. Mullan,1257422336,UK,245,R,112,108,109,,,,,110
1809,L. OBrien,1257440512,HAW,156,R,114,118,,,,,,115
1810,R. DeLaney,1257441280,BUCK,231,L,91,97,,,106,92,,96
1811,K. Montgomery,1257441536,UCSB,1130,R,103,107,104,,101,97,,103
1812,B. Renfrow,1257443072,VT,935,R,110,111,112,105,,102,,108
1813,J. Swink,1257447168,LIB,706,L,115,116,,93,124,118,,113
1814,H. Holzemer,1257459712,SF,300,L,95,,,,99,96,,96
1815,T. Grenn,1257460992,NAVY,732,R,93,85,94,,93,,,93
1816,A. Keenan,1257462529,STAN,267,R,122,105,,,,,,116
1817,L. Reddemann,1257462784,UCLA,845,R,115,104,98,108,,84,,106
1818,T. Duke,1257464320,KSU,448,R,99,,116,,95,,,105
1819,B. Luu,1257490432,UCI,41,L,105,,,,,,,105
1820,P. Fitzpatrick,1257698355,WOF,207,R,100,90,,,,,,98
1821,M. Erspamer,1257982297,STAN,490,L,121,116,111,,,,,117
1822,D. Hartley,1258080183,GASO,116,R,94,98,,,,94,,95
1823,A. Colarusso,1258115584,BC,1061,L,111,109,106,120,,97,,110
1824,W. Peterson,1258116844,PEPP,122,R,95,104,,93,,,,96
1825,R. Young,1258124124,FAMU,40,R,83,,,,,,,83
1826,J. Lafkas,1258269689,BALL,175,R,108,100,,,,,,106
1827,E. Curtis,1258387161,MEM,95,L,97,105,,,,,,99
1828,E. Garza,1258684160,LOFL,27,R,85,,,,,,,85
1829,S. McCabe,1258728572,COFC,84,R,110,,,,,130,,116
1830,J. Korson,1258878208,OAK,66,R,93,,,,,,,93
1831,M. Bruno,1258911232,GW,437,R,103,102,,105,100,,,103
1832,G. Miller,1258911488,GW,583,L,91,86,105,,,96,,94
1833,M. Bayles,1258983680,SCU,1142,R,106,122,105,,,104,,112
1834,T. Coats,1259569014,MIA,458,R,109,98,106,,100,105,,105
1835,E. Baiotto,1259675684,TENN,278,R,,104,,,108,,,107
1836,B. Garula,1259723776,CIN,312,L,92,,92,,,,,92
1837,Y. Bland,1260006400,UNLV,742,R,90,107,108,,92,106,,100
1838,J. Ohman,1260237537,YALE,710,R,122,109,108,105,,109,,115
1839,N. Chow,1260562028,SCU,423,R,106,89,,,93,88,,100
1840,C. Leonard,1260747264,KENT,243,R,96,106,,,96,,,100
1841,B. Weber,1260755712,VT,76,R,89,,,,94,,,91
1842,R. Gold,1260771073,KENN,370,L,100,101,,,,108,,104
1843,J. Kenty,1260774144,GASO,311,L,93,,104,,,91,,95
1844,H. Hart,1260808960,NDSU,217,R,96,99,,,,,,97
1845,M. Mueller,1260830208,MILW,78,L,121,,,,,,,121
1846,L. Neiswonger,1260836413,CMU,352,R,105,104,,107,103,95,,104
1847,O. Zadrozny,1260854784,MRMK,55,R,86,,,,,,,86
1848,E. Kay,1260978245,STON,146,R,91,80,93,,105,,,91
1849,G. Sentell,1261138697,NCAT,330,R,89,108,,,,98,,97
1850,C. Demont,1261140820,UTSA,77,R,106,,,,,,,106
1851,R. Capistran,1261477376,GRAM,322,R,85,102,92,,,,,94
1852,J. Sleeper,1261524992,JVST,570,R,109,119,94,,,,,112
1853,J. Florence,1261596663,SC,42,R,87,,,,,,,87
1854,S. Staerker,1261686528,CAN,239,R,102,95,105,,,,,101
1855,J. Nobe,1261826050,XAV,349,R,107,105,,,,85,,102
1856,S. Soto,1262020352,HAW,90,R,100,109,,,,,,104
1857,D. Dathe,1262376960,LSU,50,R,,110,,,,,,110
1858,R. Hughes,1262528256,TOL,340,R,97,107,114,105,138,,,108
1859,J. Jannicelli,1262534902,UCSB,495,R,112,,100,,,118,,113
1860,D. Menjivar,1262636315,BRAD,82,R,86,96,,,,,,91
1861,J. Woodward,1262668032,FIU,239,R,86,107,117,,,,,98
1862,H. Luke,1262861824,NICH,642,R,109,102,100,,106,87,,104
1863,M. Sears,1263255040,UTA,599,L,122,90,,,,93,,110
1864,T. Vincent,1263396864,TULN,410,L,99,97,,,90,,,97
1865,J. Reiser,1263414528,BYU,444,L,107,98,,100,,89,,99
1866,J. Lloyd,1263423232,LONG,876,L,108,,102,105,,122,,112
1867,D. Thomas,1263546624,SJSU,369,R,93,105,,,,103,,98
1868,C. Kriebel,1263557376,PITT,278,L,99,104,,,103,92,,102
1869,B. Puckett,1263565056,LIP,98,R,103,,,,,,,103
1870,C. Carson,1263577600,CHAR,934,L,96,100,105,109,,103,,102
1871,E. Vaughan,1263600640,VCU,438,R,101,112,95,102,,,,104
1872,L. Rhodes,1263613696,YSU,215,R,87,103,,99,,,,94
1873,B. Curtis,1263691008,NEOM,392,R,93,105,,,99,105,,100
1874,J. Volmerding,1263800064,CP,254,L,108,118,,,,,,111
1875,M. Ruh,1264008960,UNCW,493,R,104,101,100,,,,,102
1876,V. Frederick,1264095032,SJU,582,R,102,86,,,102,100,,100
1877,J. Strohecker,1264296558,JMU,169,R,115,83,,,,,,105
1878,R. Hensley,1264394752,OKLA,183,R,91,,107,99,,,,97
1879,R. Kruse,1264601600,VALP,283,R,96,104,,125,101,,,105
1880,C. Kochanowicz,1264804058,LEH,217,R,85,108,,,,,,99
1881,J. Taylor,1265076224,CHAR,878,R,97,103,,,,94,,100
1882,A. Shaw,1265561363,STAN,443,L,102,97,,,114,108,,105
1883,D. Diggs,1265569721,UNF,285,R,112,88,,,,,,106
1884,N. DiRito,1265584640,APP,1085,R,99,106,104,,,100,95,101
1885,M. Fredette,1266197175,SAM,170,R,98,108,,,,,,101
1886,E. Fry,1266273549,NKU,104,R,96,111,,,,,,102
1887,J. Kennedy,1266436864,OKST,306,R,116,101,,,,105,,112
1888,M. Hoover,1266472704,WMU,286,R,100,96,,,,101,,99
1889,J. Sjuts,1266675208,SDST,137,R,,100,,90,,,,93
1890,J. Douthat,1266710507,VMI,166,L,92,74,,,31,,,73
1891,A. Lucero,1266982656,NAVY,129,R,97,85,,,,,,93
1892,C. Lane,1266982912,UNLV,959,R,103,101,105,,,103,,103
1893,J. Fallon,1267029873,TNTC,178,L,108,,99,,,,,106
1894,A. Nance,1267050903,NCST,765,R,112,103,,104,,95,,108
1895,J. Kendall,1267210038,HCU,201,R,98,102,,,,95,,99
1896,G. Theis,1267252480,MILW,543,R,87,,104,103,,,,99
1897,J. Heppner,1267552395,UVU,831,L,110,100,,108,,96,,105
1898,A. Wu,1268075204,PEPP,255,R,93,107,75,,,102,,95
1899,D. Primeaux,1268163584,LSU,40,L,111,,,,,,,111
1900,B. Wyland,1268217977,UTU,194,R,97,87,,,,,,95
1901,M. Hansmann,1268493312,EVAN,1294,R,106,100,102,84,101,101,,102
1902,R. Marton,1268630954,UNLV,292,R,100,114,,92,,,,101
1903,E. Hansen,1268841520,SIND,292,R,104,99,98,,,111,,103
1904,N. Williamson,1269411328,VMI,85,L,88,,,,,115,,104
1905,J. Vanderhave,1269427712,ARMY,217,R,95,92,,111,100,,,97
1906,J. Holder,1269428224,VILL,284,R,102,102,,,,,,102
1907,R. Buckler,1269469952,FAU,172,R,91,86,,,,93,,90
1908,A. Steinhaus,1269484032,RAD,666,R,91,112,,109,93,102,,100
1909,J. Kopetski,1269533184,URI,302,L,99,73,,107,,95,,97
1910,H. Narke,1269586688,LA S,186,R,96,,,,,97,,96
1911,G. Shearer,1269596928,NW,642,R,106,100,,,109,115,,107
1912,B. Callanan,1269599488,IONA,229,R,96,82,,,,88,,91
1913,C. Byrne,1269611520,HALL,83,R,103,,,,,90,,99
1914,B. Hamilton,1269627392,WICH,1064,R,94,103,98,104,102,91,,97
1915,C. Atkinson,1269643520,BAY,521,R,91,105,,104,,103,,101
1916,M. Nelson,1269643776,SF,46,R,79,,,,,,,79
1917,E. Nissen,1269694720,CREI,567,L,101,96,105,104,,95,,100
1918,J. Iglesias,1269763671,LBSU,301,R,101,106,,,105,,,104
1919,G. Metrick,1269910495,TOWS,60,R,101,99,,,,,,100
1920,J. Hoyt,1270059432,FLA,140,L,113,112,,,,,,113
1921,M. Luzarraga,1270355494,DBU,339,R,119,107,99,,,,,110
1922,C. Feser,1270584832,KSU,415,R,100,115,111,109,,100,,105
1923,M. Whitmer,1270698752,GTWN,26,L,,,,,,115,,115
1924,K. Hardebeck,1270958079,HCU,40,R,105,,,,,,,105
1925,H. Small,1271072768,INST,477,R,105,101,100,105,,102,,103
1926,M. Johnson,1271085056,SIU,781,R,108,96,103,91,,94,,102
1927,J. Jakubowski,1271086080,UIC,345,R,80,81,,,98,,,83
1928,D. Orr,1271196089,GC,67,R,104,,,,,,,104
1929,S. Frizzi,1271496910,WKU,70,R,,112,,,,,,112
1930,B. Moulin,1271709434,PENN,407,L,95,99,,70,97,,,93
1931,M. Vitellaro,1271785969,UIC,210,L,97,80,,,,,,95
1932,L. Lang,1271805605,IONA,203,R,115,,93,,,87,,108
1933,J. Paone,1271817415,UVA,879,R,109,107,99,,110,80,,106
1934,W. Labonte,1271837855,PORT,444,R,110,90,,,,88,,99
1935,J. Dienes,1272690944,MEM,259,L,,104,,,114,,,111
1936,M. Cuzco,1272724611,MVSU,54,R,97,,,,,,,97
1937,C. Van Haaren,1272857209,EKY,599,R,97,101,101,,92,110,,100
1938,G. Groce,1272990547,AKR,292,R,99,87,,,,98,,96
1939,D. Aiken,1273046784,COFC,85,R,117,,,,,,,117
1940,A. Sanchez,1273103616,UTRGV,171,R,93,107,,,,112,,100
1941,R. Bernadina,1273165312,KENT,35,R,102,,,,,,,102
1942,J. Winter,1273168384,CHAR,307,R,97,100,,,,118,,107
1943,B. Champey,1273168897,DAV,572,R,85,92,,,85,109,,93
1944,T. Bell,1273172736,ETSU,902,L,110,108,101,101,,99,,106
1945,W. Banks,1273174272,DAV,64,R,96,120,,,,,,107
1946,D. Siegner,1273174528,LONG,466,R,85,93,,,,92,,90
1947,J. Smith,1273185024,HARV,327,R,100,102,93,,,111,,102
1948,S. Oliva,1273255497,UTRGV,127,R,111,103,,,,,,109
1949,D. Haines,1273284608,DBU,105,L,119,,,,89,,,108
1950,B. Calise,1273287680,UCF,31,R,90,,,,,,,90
1951,B. Kochany,1273311817,MSU,256,R,93,100,93,113,,,,98
