,Pitcher,pitcherId,team,Total,Hand,Stf+ FA,Stf+ SL,Stf+ CU,Stf+ FC,Stf+ SI,Stf+ CH,Stf+ FS,Stuff+
297,R. Geraghty,1084407040,JVST,658,R,89,105,100,117,97,99,,104
298,B. Cruz,1084413696,PAC,117,R,99,99,,,,,,99
299,W. Land,1084419072,SCUS,246,R,99,103,,,,,,101
300,C. Katskee,1084443136,NEB,877,R,99,108,106,,,88,,102
301,P. Buursema,1084446208,GT,396,R,106,121,106,117,,,,113
302,J. Alba,1084450304,ASU,669,R,109,101,95,,,90,,103
303,S. Benes,1084481536,LU,954,R,107,105,101,104,,82,,104
304,P. Rogan,1084482304,SHU,118,R,95,88,,,93,,,92
305,K. Deverman,1084482817,EVAN,670,L,109,95,,,,95,,106
306,M. Dumsky,1084485120,DART,349,R,95,107,118,98,,119,,103
307,A. Veasey,1084614912,CLEM,369,R,122,101,,,,,,118
308,R. Self,1084666669,UTSA,336,R,99,106,,,,92,,100
309,T. August,1085268480,LIB,690,R,112,90,,98,,107,,109
310,M. Self,1085273600,RAD,133,R,97,106,,,91,,,100
311,J. Gibson,1085280256,SCUS,282,L,112,99,,,,117,,110
312,J. Hobb,1085383424,WEBB,205,L,104,107,,,98,,,104
313,C. Robinson,1085389824,MEM,350,R,96,102,,105,,109,,101
314,B. Coughlin,1085390848,LEH,170,R,104,85,,,,,,98
315,S. Finn,1085391616,CONN,138,R,110,102,,,,94,,104
316,E. Smink,1085395712,PITT,468,R,107,,,,101,92,,101
317,D. Horvath,1085398016,MONM,242,R,94,91,,,,104,,96
318,Z. Konstantinovsky,1085398272,RUTG,982,R,114,98,,100,112,94,,104
319,A. Kranzler,1085398528,VAN,657,R,101,114,105,109,108,104,,108
320,C. Topolski,1085400576,RICH,879,R,102,93,,91,,108,,100
321,T. Busyn,1085401600,UTM,38,R,100,,,,,,,100
322,C. Byers,1085401856,M-OH,699,L,111,89,,97,,103,,105
323,C. Campau,1085402112,CMU,52,R,96,,,,,,,96
324,C. Caughey,1085402368,KENT,797,R,106,94,99,,,106,,102
325,B. Mann,1085411840,MICH,86,R,,,107,100,,,,102
326,G. Gorman,1085414656,BRY,111,R,94,112,,,,,,106
327,E. Maloney,1085415168,URI,482,R,98,93,90,,,125,,102
328,J. Campbell,1085417472,JOES,314,R,107,101,84,,,106,,104
329,K. Remington,1085418496,ILL,364,R,102,100,,,,101,,101
330,A. Karbowski,1085804677,LOU,107,L,99,112,,,128,,,112
331,J. Wilmoth,1085955072,ILST,184,R,107,100,97,,,104,,104
332,A. Morris,1085959680,ALA,246,R,107,105,,,103,117,,108
333,B. Krzysiak,1086140416,KENT,410,R,96,110,,,96,,,98
334,T. Bryan,1086409984,HOU,379,R,112,117,,,,108,,113
335,D. King,1086413825,UCSD,446,R,118,111,,101,,,,114
336,J. Krakoski,1086426112,CSF,40,R,120,,,,,,,120
337,A. Gonzalez,1086606330,SF,247,R,102,112,,93,,,,99
338,T. Mitchell,1086866426,ELON,614,L,105,96,,,113,84,,103
339,K. Goss,1087202304,GRAM,253,L,90,,80,,,94,,89
340,N. Neville,1087270299,IONA,25,L,96,,,,,,,96
341,C. Granger,1087362816,FAMU,58,R,87,,,,,,,87
342,B. Lanman,1087364096,AC,872,L,112,84,,125,,87,,112
343,W. Harrigan,1087379968,CLMB,633,R,109,107,,100,106,97,,105
344,J. Johnston,1087383296,AUB,227,R,117,109,,101,,,,112
345,M. Heiberger,1087388160,ALA,527,L,108,110,,,97,104,,105
346,T. McGregor,1087388672,PRE,715,R,87,92,101,,,96,,94
347,E. Balmaceda,1087410944,SFA,233,L,106,104,,,,,,106
348,C. Sutherland,1087411968,MOSU,192,R,103,106,99,,,,,103
349,B. Benton,1087538479,SCUS,326,R,99,112,,,,94,,104
350,B. Keefe,1087549440,RAD,150,L,101,,,82,,,,93
351,N. Langbehn,1087726810,TOL,429,R,106,122,117,,,,,112
352,B. Owens,1087753728,WICH,379,L,121,114,,109,,,,118
353,A. England,1088034266,LOU,429,L,115,85,,90,,103,,106
354,B. Mahoney,1088529967,CSF,691,R,103,115,,,103,102,,106
355,D. Desch,1088679680,NEV,349,R,100,114,,,106,,,108
356,J. Gerfers,1088720583,LBSU,970,R,92,101,99,,97,105,,97
357,J. Spencer,1088903168,INST,36,R,103,,,,,,,103
358,G. Archer,1088904960,IOWA,144,R,88,113,,120,,111,,105
359,R. McDuffie,1089025792,TNTC,368,R,90,84,,,85,96,,91
360,B. Lanham,1089026816,PEAY,349,R,94,111,,108,,,,102
361,S. Ely,1089047606,DSU,38,L,87,,,,,,,87
362,S. Ryan,1089115207,NDSU,378,L,82,92,,67,,91,,82
363,D. Bayles,1089251739,UTM,94,R,94,98,,,,,,95
364,E. Shaver,1089259264,PAC,598,R,83,86,78,,,100,,86
365,A. Haley,1089285544,KSU,235,R,93,106,,,98,99,,97
366,G. Govel,1089405686,USC,1106,R,123,111,106,100,,112,,116
367,C. Wall,1089570816,SJU,83,L,,99,,,118,,,110
368,M. Myro,1089711616,BUCK,747,R,96,87,,,,99,,94
369,R. Aivazian,1089871360,SCU,112,R,91,,,,,105,,95
370,T. Fenters,1090004273,INST,213,R,109,101,,,,,,106
371,J. Reilly,1090197389,UONH,66,R,89,,,,,,,89
372,S. Schreiber,1090464256,SCU,147,L,111,,104,,,,,109
373,V. Larisa,1090664076,ME,535,R,98,98,100,,,111,,101
374,J. Turner,1090704384,BGSU,311,R,99,103,,,116,98,,101
375,C. Parks,1090710125,SCAR,460,R,102,109,,100,103,,,104
376,R. Maiorano,1090818560,FAIR,102,R,98,96,,,,,,97
377,A. Hausner,1090856448,WEBB,137,R,93,103,,,,,,98
378,T. Andrews,1091250845,MILW,89,L,97,101,,,,,,98
379,A. Cervantes,1091847416,UCLA,612,R,113,110,110,,,102,,110
380,H. Richardson,1091907574,MRSH,212,L,98,96,,,,110,,100
381,M. Wnukowski,1091990008,SEMO,428,L,117,98,,,127,,,113
382,D. Jennings,1092120304,BU,150,R,97,80,,,,,,92
383,J. Gore,1092137216,WASH,370,R,103,109,,,,,,106
384,J. DeCardenas,1092137728,USF,301,R,110,,,,,92,,104
385,J. Guardiancic,1092137984,PEPP,52,R,93,,,,,,,93
386,A. Gay,1092143972,M-OH,359,R,89,,98,,,,,92
387,K. Kimble,1092539008,MSM,392,L,101,99,,,,95,,100
388,J. Johnson,1092652800,MER,709,R,94,101,,94,98,90,,96
389,T. Benford,1092682753,GAST,513,R,95,95,,,,112,,101
390,M. Heer,1092684544,USA,1206,R,109,109,108,104,108,100,101,107
